episode,score,total_score,eval_score
834,213.00,31454.00,121.14
835,172.00,31626.00,121.18
836,133.00,31759.00,121.21
837,141.00,31900.00,121.24
838,109.00,32009.00,121.26
839,113.00,32122.00,121.28
840,121.00,32243.00,121.31
841,114.00,32357.00,121.33
842,25.00,32382.00,121.34
843,105.00,32487.00,121.36
844,109.00,32596.00,121.38
845,112.00,32708.00,121.40
846,115.00,32823.00,121.43
847,117.00,32940.00,121.45
848,107.00,33047.00,121.47
849,18.00,33065.00,121.48
850,121.00,33186.00,121.50
851,110.00,33296.00,121.53
852,38.00,33334.00,121.53
853,132.00,33466.00,121.56
854,132.00,33598.00,121.59
855,112.00,33710.00,121.61
856,123.00,33833.00,121.64
857,125.00,33958.00,121.66
858,131.00,34089.00,121.69
859,141.00,34230.00,121.72
860,147.00,34377.00,121.75
861,119.00,34496.00,121.77
862,124.00,34620.00,121.80
863,139.00,34759.00,121.83
864,144.00,34903.00,121.86
865,119.00,35022.00,121.88
866,192.00,35214.00,121.92
867,140.00,35354.00,121.95
868,130.00,35484.00,121.98
869,150.00,35634.00,122.01
870,132.00,35766.00,122.04
871,117.00,35883.00,122.06
872,126.00,36009.00,122.09
873,187.00,36196.00,122.13
874,142.00,36338.00,122.15
875,125.00,36463.00,122.18
876,136.00,36599.00,122.21
877,121.00,36720.00,122.23
878,144.00,36864.00,122.26
879,124.00,36988.00,122.29
880,131.00,37119.00,122.32
881,133.00,37252.00,122.34
882,151.00,37403.00,122.37
883,204.00,37607.00,122.42
884,120.00,37727.00,122.44
885,150.00,37877.00,122.47
886,159.00,38036.00,122.51
887,135.00,38171.00,122.53
888,151.00,38322.00,122.56
889,161.00,38483.00,122.60
890,146.00,38629.00,122.63
891,158.00,38787.00,122.66
892,135.00,38922.00,122.69
893,136.00,39058.00,122.72
894,135.00,39193.00,122.75
895,132.00,39325.00,122.77
896,144.00,39469.00,122.80
897,124.00,39593.00,122.83
898,136.00,39729.00,122.86
899,130.00,39859.00,122.88
900,133.00,39992.00,122.91
901,140.00,40132.00,122.94
902,126.00,40258.00,122.97
903,142.00,40400.00,122.99
904,180.00,40580.00,123.03
905,162.00,40742.00,123.07
906,158.00,40900.00,123.10
907,179.00,41079.00,123.14
908,156.00,41235.00,123.17
909,162.00,41397.00,123.20
910,141.00,41538.00,123.23
911,135.00,41673.00,123.26
912,108.00,41781.00,123.28
913,120.00,41901.00,123.31
914,116.00,42017.00,123.33
915,119.00,42136.00,123.35
916,119.00,42255.00,123.38
917,112.00,42367.00,123.40
918,126.00,42493.00,123.43
919,128.00,42621.00,123.45
920,116.00,42737.00,123.48
921,114.00,42851.00,123.50
922,120.00,42971.00,123.53
923,115.00,43086.00,123.55
924,122.00,43208.00,123.58
925,124.00,43332.00,123.60
926,116.00,43448.00,123.63
927,136.00,43584.00,123.65
928,128.00,43712.00,123.68
929,133.00,43845.00,123.71
930,120.00,43965.00,123.73
931,117.00,44082.00,123.76
932,110.00,44192.00,123.78
