episode,score,total_score,eval_score
648,28.00,16617.00,118.07
649,23.00,16640.00,118.08
650,20.00,16660.00,118.08
651,23.00,16683.00,118.09
652,30.00,16713.00,118.09
653,16.00,16729.00,118.10
654,20.00,16749.00,118.10
655,16.00,16765.00,118.11
656,26.00,16791.00,118.11
657,91.00,16882.00,118.13
658,31.00,16913.00,118.14
659,105.00,17018.00,118.16
660,113.00,17131.00,118.18
661,121.00,17252.00,118.21
662,347.00,17599.00,118.28
663,74.00,17673.00,118.29
664,43.00,17716.00,118.30
665,74.00,17790.00,118.32
666,85.00,17875.00,118.33
667,55.00,17930.00,118.35
668,99.00,18029.00,118.37
669,133.00,18162.00,118.39
670,232.00,18394.00,118.44
671,192.00,18586.00,118.48
672,172.00,18758.00,118.52
673,202.00,18960.00,118.56
674,225.00,19185.00,118.61
675,180.00,19365.00,118.64
676,81.00,19446.00,118.66
677,92.00,19538.00,118.68
678,70.00,19608.00,118.69
679,133.00,19741.00,118.72
680,188.00,19929.00,118.76
681,323.00,20252.00,118.83
682,230.00,20482.00,118.87
683,242.00,20724.00,118.92
684,309.00,21033.00,118.99
685,226.00,21259.00,119.03
686,292.00,21551.00,119.10
687,263.00,21814.00,119.15
688,188.00,22002.00,119.19
689,273.00,22275.00,119.25
690,412.00,22687.00,119.33
691,283.00,22970.00,119.39
692,297.00,23267.00,119.45
693,164.00,23431.00,119.48
694,210.00,23641.00,119.53
695,207.00,23848.00,119.57
696,200.00,24048.00,119.61
697,154.00,24202.00,119.64
698,168.00,24370.00,119.68
699,176.00,24546.00,119.71
700,139.00,24685.00,119.74
701,136.00,24821.00,119.77
702,127.00,24948.00,119.80
703,23.00,24971.00,119.80
704,102.00,25073.00,119.82
705,17.00,25090.00,119.83
706,17.00,25107.00,119.83
707,13.00,25120.00,119.83
708,11.00,25131.00,119.84
709,19.00,25150.00,119.84
710,12.00,25162.00,119.84
711,13.00,25175.00,119.85
712,13.00,25188.00,119.85
713,13.00,25201.00,119.85
714,16.00,25217.00,119.85
715,10.00,25227.00,119.86
716,122.00,25349.00,119.88
717,167.00,25516.00,119.92
718,210.00,25726.00,119.96
719,22.00,25748.00,119.96
720,31.00,25779.00,119.97
721,26.00,25805.00,119.98
722,24.00,25829.00,119.98
723,22.00,25851.00,119.98
724,23.00,25874.00,119.99
725,20.00,25894.00,119.99
726,22.00,25916.00,120.00
727,19.00,25935.00,120.00
728,24.00,25959.00,120.01
729,15.00,25974.00,120.01
730,25.00,25999.00,120.02
731,23.00,26022.00,120.02
732,27.00,26049.00,120.03
733,30.00,26079.00,120.03
734,110.00,26189.00,120.05
735,105.00,26294.00,120.08
736,131.00,26425.00,120.10
737,151.00,26576.00,120.13
738,276.00,26852.00,120.19
739,280.00,27132.00,120.25
740,260.00,27392.00,120.30
741,169.00,27561.00,120.34
742,183.00,27744.00,120.38
743,156.00,27900.00,120.41
744,132.00,28032.00,120.44
745,152.00,28184.00,120.47
746,182.00,28366.00,120.51
747,149.00,28515.00,120.54
748,122.00,28637.00,120.56
749,210.00,28847.00,120.60
750,136.00,28983.00,120.63
751,116.00,29099.00,120.66
752,137.00,29236.00,120.69
753,143.00,29379.00,120.71
754,107.00,29486.00,120.74
755,102.00,29588.00,120.76
756,110.00,29698.00,120.78
757,111.00,29809.00,120.80
758,123.00,29932.00,120.83
759,326.00,30258.00,120.90
760,265.00,30523.00,120.95
761,136.00,30659.00,120.98
762,203.00,30862.00,121.02
763,264.00,31126.00,121.08
764,371.00,31497.00,121.15
765,361.00,31858.00,121.23
766,143.00,32001.00,121.26
767,288.00,32289.00,121.32
768,151.00,32440.00,121.35
769,155.00,32595.00,121.38
770,134.00,32729.00,121.41
771,172.00,32901.00,121.44
772,199.00,33100.00,121.48
773,217.00,33317.00,121.53
774,328.00,33645.00,121.60
775,368.00,34013.00,121.67
776,338.00,34351.00,121.74
777,225.00,34576.00,121.79
778,285.00,34861.00,121.85
779,249.00,35110.00,121.90
780,500.00,35610.00,122.00
781,206.00,35816.00,122.05
782,165.00,35981.00,122.08
783,243.00,36224.00,122.13
784,193.00,36417.00,122.17
785,150.00,36567.00,122.20
786,151.00,36718.00,122.23
787,140.00,36858.00,122.26
788,156.00,37014.00,122.29
789,151.00,37165.00,122.33
790,138.00,37303.00,122.35
791,153.00,37456.00,122.39
792,126.00,37582.00,122.41
793,120.00,37702.00,122.44
794,133.00,37835.00,122.46
795,139.00,37974.00,122.49
796,99.00,38073.00,122.51
797,164.00,38237.00,122.55
798,229.00,38466.00,122.59
799,124.00,38590.00,122.62
800,135.00,38725.00,122.65
801,194.00,38919.00,122.69
802,224.00,39143.00,122.73
803,165.00,39308.00,122.77
804,265.00,39573.00,122.82
805,500.00,40073.00,122.93
806,120.00,40193.00,122.95
807,500.00,40693.00,123.06
808,500.00,41193.00,123.16
809,500.00,41693.00,123.26
810,99.00,41792.00,123.28
811,74.00,41866.00,123.30
812,76.00,41942.00,123.31
813,79.00,42021.00,123.33
814,64.00,42085.00,123.34
815,19.00,42104.00,123.35
816,25.00,42129.00,123.35
817,15.00,42144.00,123.36
818,14.00,42158.00,123.36
819,14.00,42172.00,123.36
820,13.00,42185.00,123.36
821,11.00,42196.00,123.37
822,11.00,42207.00,123.37
823,10.00,42217.00,123.37
824,13.00,42230.00,123.37
825,12.00,42242.00,123.38
826,12.00,42254.00,123.38
827,10.00,42264.00,123.38
828,9.00,42273.00,123.38
829,11.00,42284.00,123.38
830,9.00,42293.00,123.39
831,10.00,42303.00,123.39
832,11.00,42314.00,123.39
833,14.00,42328.00,123.39
834,10.00,42338.00,123.40
835,11.00,42349.00,123.40
836,16.00,42365.00,123.40
837,12.00,42377.00,123.40
838,19.00,42396.00,123.41
839,24.00,42420.00,123.41
840,93.00,42513.00,123.43
841,147.00,42660.00,123.46
842,16.00,42676.00,123.47
843,12.00,42688.00,123.47
